Bag_Name,Personality_Type,Personality_Description,Product_Link,Question,Option_1,Option_1_Personality,Option_2,Option_2_Personality,Option_3,Option_3_Personality,Option_4,Option_4_Personality
Classic Hobo With Side Pockets - 382,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/art-floral-passion/products/leather-classic-hobo-with-side-pockets-382-fps,What’s your go-to mood on weekends?,Relaxing with nature,Angel Aura,Partying in the city,Color Mirage,Exploring something new,Flutter Charm,Staying cozy at home,Playful Paws
Flap Crossbody - 683,Playful Paws,"Cute, lively, and full of joy.",https://anuschkaleather.in/collections/art-floral-passion/products/leather-flap-crossbody-683-fps,Your dream vacation spot is:,A tropical island 🏝️,Color Mirage,Caribbean beaches 🏖️,Sacred Elephant,A quiet ocean cliff 🌊,Wolf Moon,A deep forest retreat 🌿,Wolf Moon
Expandable Travel Crossbody - 550,Gentle Guardian,"Protective and warm-hearted, symbol of care.",https://anuschkaleather.in/collections/art-floral-passion/products/leather-expandable-travel-crossbody-550-fps,What type of adventure excites you most?,A jungle safari 🐆,Playful Paws,Climbing a mountain 🏔️,Caribbean Dreamer,Exploring an enchanted forest 🌲,Roaring Majesty,Leading an expedition 🦁,Sacred Elephant
Medium Zip-Around Eyeglass/Cosmetic Pouch - 1163,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/art-floral-passion/products/leather-small-zip-around-cosmetic-pouch-1163-fps,Your dream vacation spot is:,A tropical island 🏝️,Roaring Majesty,Caribbean beaches 🏖️,Wolf Moon,A quiet ocean cliff 🌊,Wilderness Whisper,A deep forest retreat 🌿,Dreamscape Urbanite
Painted Leather Bag Charm K0033 - Keycharms,Paisley Muse,Unique and elegant with a cultural twist.,https://anuschkaleather.in/collections/art-floral-passion/products/leather-painted-leather-bag-charm-k0033-fps,Which art style inspires you most?,Colorful splashes,Earth Song,Intricate mosaics,Winged Serenity,Bohemian patterns,Tropical Breeze,Elegant paisleys,Leopard Luxe
Three Fold Wallet - 1150,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/art-floral-passion/products/leather-three-fold-wallet-1150-fps,"If your personality was a painting, it would be:",Bold and expressive abstract,Sacred Elephant,Geometric and structured mosaic,Vintage Charm,Free,Boho Spirit,Delicate and detailed paisley,Ethereal Bloom
Multi Compartment Satchel - 690,Wilderness Whisper,Mysterious and adventurous with a natural charm.,https://anuschkaleather.in/collections/art-floral-passion/products/leather-multi-compartment-satchel-690-fps,Which art style inspires you most?,Colorful splashes,Mystic Mosaic,Intricate mosaics,Flutter Charm,Bohemian patterns,Wolf Moon,Elegant paisleys,Angel Aura
Multi Compartment Medium Bag - 691,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/art-floral-passion/products/leather-multi-compartment-medium-bag-691-fps,"If you had wings, how would you use them?",To glide peacefully above nature,Mystic Mosaic,To explore galaxies beyond Earth,Dreamscape Urbanite,To dance among flowers in freedom,Enchanted Rose,To transform and start anew,Angel Aura
Medium Frame Crossbody - 700,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/art-floral-passion/products/leather-medium-frame-crossbody-700-fps,Which wild animal do you relate to most?,Leopard,Metamorph Muse,Lion,Vintage Charm,Deer,Crimson Blossom,Wolf,Celestial Wings
Medium Shoulder Hobo - 7021,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/art-floral-passion/products/leather-medium-shoulder-hobo-7021-fps,"If your personality was a painting, it would be:",Bold and expressive abstract,Wolf Moon,Geometric and structured mosaic,Earth Song,Free,Playful Paws,Delicate and detailed paisley,Earth Song
Expandable Shopper Tote - 712,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/art-floral-passion/products/leather-expandable-shopper-tote-712-fps,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Paisley Muse,Bold and fiery rose prints,Roaring Majesty,Soft watercolor blossoms,Ethereal Bloom,Dark romantic florals,Dreamscape Urbanite
Wooden Printed Bowl - 25003,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/art-floral-passion/products/bowl-25003-fps,What type of adventure excites you most?,A jungle safari 🐆,Dreamscape Urbanite,Climbing a mountain 🏔️,Crimson Blossom,Exploring an enchanted forest 🌲,Crimson Blossom,Leading an expedition 🦁,Paisley Muse
Small Convertible Hobo - 701,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/art-floral-passion/products/leather-small-convertible-hobo-701-fps,What type of adventure excites you most?,A jungle safari 🐆,Color Mirage,Climbing a mountain 🏔️,Savannah Spirit,Exploring an enchanted forest 🌲,Ocean Mist,Leading an expedition 🦁,Ethereal Bloom
Pajama Set - 3344,Leopard Luxe,Fierce elegance with a daring personality.,https://anuschkaleather.in/collections/art-floral-passion/products/pajama-set-loungewear-3344-fps,Your favorite city vibe is:,Futuristic and visionary,Savannah Spirit,Classic old,Playful Paws,Trendy and nostalgic,Enchanted Rose,Modern city nightlife,Savannah Spirit
Slip Dress - 3346,Earth Song,Deeply connected to nature and harmony.,https://anuschkaleather.in/collections/art-floral-passion/products/slip-dress-loungewear-3346-fps,"If you had wings, how would you use them?",To glide peacefully above nature,Wilderness Whisper,To explore galaxies beyond Earth,Vintage Charm,To dance among flowers in freedom,Ocean Mist,To transform and start anew,Dreamscape Urbanite
Robe - 3343,Savannah Spirit,"Bold and untamed, echoing the wild savannas.",https://anuschkaleather.in/collections/art-floral-passion/products/robe-loungewear-3343-fps,Which scenery feels most calming to you?,A blooming spring garden 🌷,Gentle Guardian,A field of wild roses under sunset 🌹,Ocean Mist,A misty meadow with dew,Gentle Guardian,A vintage botanical greenhouse 🌼,Vintage Charm
Coin Pouch - 1031,Flutter Charm,Playful and delicate with lively patterns.,https://anuschkaleather.in/collections/art-floral-passion/products/leather-coin-pouch-1031-fps,Pick a season you love most:,Spring 🌸,Dreamscape Urbanite,Summer 🌞,Wilderness Whisper,Autumn 🍂,Boho Spirit,Winter ❄️,Mystic Mosaic
Mini Double Zip Travel Crossbody - 448,Sacred Elephant,"Wise and grounded, exuding strength and calm.",https://anuschkaleather.in/collections/art-floral-passion/products/leather-mini-double-zip-travel-crossbody-448-fps,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Color Mirage,An elephant with a lotus 🐘,Playful Paws,A guardian dog 🐕,Vintage Charm,A mystical owl 🦉,Crimson Blossom
Classic Hobo With Side Pockets - 382,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/art-flower-garden-almond/products/leather-classic-hobo-with-side-pockets-382-gdn-ald,Which art style inspires you most?,Colorful splashes,Leopard Luxe,Intricate mosaics,Ethereal Bloom,Bohemian patterns,Petal Muse,Elegant paisleys,Color Mirage
Eye Glass Pouch - 2040,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/flower-garden-taupe/products/leather-eye-glass-pouch-2040-fng-tau,Which element resonates with your soul?,Air,Color Mirage,Light,Wolf Moon,Movement,Playful Paws,Growth,Boho Spirit
Two-Fold Organizer Wallet - 2086,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/flower-garden-taupe/products/leather-two-fold-organizer-wallet-2086-fng-tau,Your favorite city vibe is:,Futuristic and visionary,Metamorph Muse,Classic old,Ocean Mist,Trendy and nostalgic,Mystic Mosaic,Modern city nightlife,Camellia Grace
Medium Tote - 7603,Dreamscape Urbanite,"Ambitious and visionary, thriving in the city’s rhythm.",https://anuschkaleather.in/collections/flower-garden-taupe/products/leather-medium-tote-7603-fng-tau,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Sacred Elephant,Bold and fiery rose prints,Crimson Blossom,Soft watercolor blossoms,Boho Spirit,Dark romantic florals,Retro Muse
RFID Blocking Card Case with Coin Pouch - 1140,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/art-free-spirit/products/leather-rfid-blocking-card-case-with-coin-pouch-1140-frs,Which bag style attracts you most?,Sleek and modern,Winged Serenity,Antique leather satchel,Crimson Blossom,Funky retro prints,Petal Muse,Edgy futuristic designs,Paisley Muse
Organizer Wallet Crossbody - 1149,Enchanted Rose,Romantic and magical with a vintage touch.,https://anuschkaleather.in/collections/art-free-spirit/products/leather-organizer-wallet-crossbody-1149-frs,What color palette do you prefer for accessories?,Aqua blues and sea greens,Vintage Charm,Bright island colors,City Lights,Soft sandy tones,Gentle Guardian,Earthy browns and greens,Ocean Mist
3-1 Convertible Crossbody - 7436,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/friendly-flock/products/leather-3-1-convertible-crossbody-7436-frk,What’s your go-to mood on weekends?,Relaxing with nature,Paisley Muse,Partying in the city,Earth Song,Exploring something new,Sacred Elephant,Staying cozy at home,Color Mirage
Zip Pouch Purse - 2085,Gentle Guardian,"Protective and warm-hearted, symbol of care.",https://anuschkaleather.in/collections/garden-llama/products/leather-zip-pouch-purse-2085-gll,Which bag style attracts you most?,Sleek and modern,City Lights,Antique leather satchel,Dreamscape Urbanite,Funky retro prints,Sacred Elephant,Edgy futuristic designs,Wolf Moon
Clutch Wallet - 1785,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/garden-llama/products/leather-clutch-wallet-1785-gll,What’s your go-to mood on weekends?,Relaxing with nature,Wilderness Whisper,Partying in the city,Tropical Breeze,Exploring something new,Sacred Elephant,Staying cozy at home,Retro Muse
Ruched Hobo - 7615,Camellia Grace,"Refined and classic, inspired by timeless beauty.",https://anuschkaleather.in/collections/garden-llama/products/leather-ruched-hobo-7615-gll,Which scenery feels most calming to you?,A blooming spring garden 🌷,Camellia Grace,A field of wild roses under sunset 🌹,Roaring Majesty,A misty meadow with dew,Ethereal Bloom,A vintage botanical greenhouse 🌼,Petal Muse
Organizer Wallet Crossbody - 1149,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/art-garden-of-delights/products/leather-organizer-wallet-cross-body-1149-gdd,Your dream vacation spot is:,A tropical island 🏝️,Wolf Moon,Caribbean beaches 🏖️,Crimson Blossom,A quiet ocean cliff 🌊,Sacred Elephant,A deep forest retreat 🌿,Color Mirage
Three Fold Wallet - 1150,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/art-garden-of-delights/products/leather-three-fold-wallet-1150-gdd,"If you had wings, how would you use them?",To glide peacefully above nature,Flutter Charm,To explore galaxies beyond Earth,Paisley Muse,To dance among flowers in freedom,Mystic Mosaic,To transform and start anew,Gentle Guardian
Medium Zip Top Hobo - 371,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/art-garden-of-delights/products/leather-medium-zip-top-hobo-371-gdd,Which element resonates with your soul?,Air,Ethereal Bloom,Light,Tropical Breeze,Movement,Petal Muse,Growth,Winged Serenity
Classic Work Tote - 664,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/art-garden-of-delights/products/leather-classic-work-tote-664-gdd,Which bag style attracts you most?,Sleek and modern,Vintage Charm,Antique leather satchel,Caribbean Dreamer,Funky retro prints,Leopard Luxe,Edgy futuristic designs,Gentle Guardian
Crossbody With Front Zip Organizer - 651,Dreamscape Urbanite,"Ambitious and visionary, thriving in the city’s rhythm.",https://anuschkaleather.in/collections/art-garden-of-delights/products/leather-crossbody-with-front-zip-organizer-651-gdd,Pick a season you love most:,Spring 🌸,Leopard Luxe,Summer 🌞,Crimson Blossom,Autumn 🍂,Leopard Luxe,Winter ❄️,Tropical Breeze
Slim Crossbody With Front Zip - 452,Winged Serenity,"Light and free, fluttering with calm energy.",https://anuschkaleather.in/collections/art-gentle-giant/products/leather-copy-of-slim-crossbody-with-front-zip-452-gtg,What quality do you value most?,Protection and care,Wilderness Whisper,Wisdom and calmness,Tropical Breeze,Playfulness and joy,Angel Aura,Strength with compassion,Caribbean Dreamer
Medium Zip Pouch - 1107,Playful Paws,"Cute, lively, and full of joy.",https://anuschkaleather.in/collections/art-gentle-giant/products/leather-medium-zip-pouch-1107-gtg,Your dream vacation spot is:,A tropical island 🏝️,Roaring Majesty,Caribbean beaches 🏖️,Playful Paws,A quiet ocean cliff 🌊,Paisley Muse,A deep forest retreat 🌿,Winged Serenity
Convertible Slim Hobo With Crossbody Strap - 662,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/art-gentle-giant/products/leather-convertible-slim-hobo-with-crossbody-strap-662-gtg,"If you had wings, how would you use them?",To glide peacefully above nature,Playful Paws,To explore galaxies beyond Earth,Flutter Charm,To dance among flowers in freedom,Crimson Blossom,To transform and start anew,Winged Serenity
Crossbody With Front Zip Organizer - 651,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/art-gentle-giant/products/leather-crossbody-with-front-zip-organizer-651-gtg,What’s your go-to mood on weekends?,Relaxing with nature,Ocean Mist,Partying in the city,Flutter Charm,Exploring something new,Ocean Mist,Staying cozy at home,Metamorph Muse
Medium Zip Pouch - 1107,Flutter Charm,Playful and delicate with lively patterns.,https://anuschkaleather.in/collections/art-gift-of-the-sea/products/leather-medium-zip-pouch-1107-gts,Which wild animal do you relate to most?,Leopard,Camellia Grace,Lion,City Lights,Deer,Ethereal Bloom,Wolf,Color Mirage
Slim Crossbody With Front Zip - 452,Ethereal Bloom,"Dreamy and delicate, radiating serenity.",https://anuschkaleather.in/collections/art-gift-of-the-sea/products/leather-slim-cross-body-with-front-zip-452-gts,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Flutter Charm,An elephant with a lotus 🐘,Flutter Charm,A guardian dog 🐕,Wilderness Whisper,A mystical owl 🦉,Flutter Charm
Everyday Shoulder Hobo - 670,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/art-gift-of-the-sea/products/leather-everyday-shoulder-hobo-670-gts,Your favorite city vibe is:,Futuristic and visionary,Metamorph Muse,Classic old,Petal Muse,Trendy and nostalgic,Metamorph Muse,Modern city nightlife,Wilderness Whisper
Organizer Wallet Crossbody - 1149,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/art-guiding-light/products/leather-organizer-wallet-cross-body-1149-gdl,What quality do you value most?,Protection and care,Earth Song,Wisdom and calmness,Playful Paws,Playfulness and joy,Roaring Majesty,Strength with compassion,Earth Song
Organizer Crossbody With Extended Side Zipper - 493,Savannah Spirit,"Bold and untamed, echoing the wild savannas.",https://anuschkaleather.in/collections/art-guiding-light/products/leather-organizer-crossbody-with-extended-side-zipper-493-gdl,Pick a season you love most:,Spring 🌸,Flutter Charm,Summer 🌞,Leopard Luxe,Autumn 🍂,Savannah Spirit,Winter ❄️,Celestial Wings
RFID Blocking Triple Compartment Travel Organizer - 596,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/art-guiding-light/products/leather-rfid-blocking-triple-compartment-travel-organizer-596-gdl,Which element resonates with your soul?,Air,Winged Serenity,Light,Celestial Wings,Movement,Ocean Mist,Growth,Flutter Charm
Everyday Shoulder Hobo - 670,Paisley Muse,Unique and elegant with a cultural twist.,https://anuschkaleather.in/collections/art-happy-panda/products/leather-hand-painted-everyday-shoulder-hobo-670-hpp,What’s your go-to mood on weekends?,Relaxing with nature,City Lights,Partying in the city,Vintage Charm,Exploring something new,Flutter Charm,Staying cozy at home,Camellia Grace
Medium Zip Pouch - 1107,Enchanted Rose,Romantic and magical with a vintage touch.,https://anuschkaleather.in/collections/art-happy-panda/products/leather-medium-zip-pouch-1107-hpp,Your dream vacation spot is:,A tropical island 🏝️,Paisley Muse,Caribbean beaches 🏖️,Wolf Moon,A quiet ocean cliff 🌊,Dreamscape Urbanite,A deep forest retreat 🌿,Ocean Mist
Convertible Slim Hobo With Crossbody Strap - 662,Ocean Mist,"Tranquil and soothing, with a cool aura.",https://anuschkaleather.in/collections/art-happy-panda/products/leather-convertible-slim-hobo-with-crossbody-strap-662-hpp,Which art style inspires you most?,Colorful splashes,Playful Paws,Intricate mosaics,Roaring Majesty,Bohemian patterns,Ethereal Bloom,Elegant paisleys,Boho Spirit
Mini Double Zip Travel Crossbody - 448,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/art-happy-panda/products/leather-mini-double-zip-travel-crossbody-448-hpp,Your dream vacation spot is:,A tropical island 🏝️,Winged Serenity,Caribbean beaches 🏖️,City Lights,A quiet ocean cliff 🌊,Enchanted Rose,A deep forest retreat 🌿,Paisley Muse
Two Fold RFID Wallet - 1171,Dreamscape Urbanite,"Ambitious and visionary, thriving in the city’s rhythm.",https://anuschkaleather.in/collections/art-happy-panda/products/leather-two-fold-rfid-wallet-1171-hpp,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Gentle Guardian,Bold and fiery rose prints,Boho Spirit,Soft watercolor blossoms,Gentle Guardian,Dark romantic florals,Earth Song
Expandable Travel Crossbody - 550,Mystic Mosaic,"Artistic and intriguing, a mix of patterns and stories.",https://anuschkaleather.in/collections/art-happy-panda/products/leather-expandable-travel-crossbody-550-hpp,What color palette do you prefer for accessories?,Aqua blues and sea greens,Boho Spirit,Bright island colors,Retro Muse,Soft sandy tones,Roaring Majesty,Earthy browns and greens,Enchanted Rose
Large Convertible Satchel - 8535,Vintage Charm,Classic beauty that never goes out of style.,https://anuschkaleather.in/collections/heritage-almond/products/large-convertible-satchel-8535-hg-ald,"If your personality was a painting, it would be:",Bold and expressive abstract,Savannah Spirit,Geometric and structured mosaic,Wilderness Whisper,Free,Wolf Moon,Delicate and detailed paisley,Color Mirage
Small Multi compartment Crossbody - 8280,Flutter Charm,Playful and delicate with lively patterns.,https://anuschkaleather.in/collections/heritage-almond/products/small-multi-compartment-crossbody-8280-hg-ald,Which scenery feels most calming to you?,A blooming spring garden 🌷,Dreamscape Urbanite,A field of wild roses under sunset 🌹,Dreamscape Urbanite,A misty meadow with dew,Retro Muse,A vintage botanical greenhouse 🌼,Retro Muse
Small Multi Compartment Zip Around Organizer - 8109,Dreamscape Urbanite,"Ambitious and visionary, thriving in the city’s rhythm.",https://anuschkaleather.in/collections/heritage-almond/products/small-zip-around-organizer-8109-hg-ald,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Paisley Muse,Bold and fiery rose prints,Tropical Breeze,Soft watercolor blossoms,Leopard Luxe,Dark romantic florals,Roaring Majesty
Heritage Leather Cosmetic Case - 1861,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/heritage-almond/products/heritage-leather-cosmetic-case-1861-hg-ald,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Metamorph Muse,An elephant with a lotus 🐘,Ethereal Bloom,A guardian dog 🐕,Petal Muse,A mystical owl 🦉,City Lights
Leather Key Case - 1998,Enchanted Rose,Romantic and magical with a vintage touch.,https://anuschkaleather.in/collections/heritage-almond/products/leather-key-case-1998-hg-ald,Your dream vacation spot is:,A tropical island 🏝️,Retro Muse,Caribbean beaches 🏖️,Wilderness Whisper,A quiet ocean cliff 🌊,Savannah Spirit,A deep forest retreat 🌿,Color Mirage
Large Convertible Satchel - 8535,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/heritage-turquoise/products/large-convertible-satchel-8535-hg-tur,Pick a season you love most:,Spring 🌸,Winged Serenity,Summer 🌞,Winged Serenity,Autumn 🍂,Earth Song,Winter ❄️,Petal Muse
Small Multi Compartment Zip Around Organizer - 8109,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/heritage-turquoise/products/small-multi-compartment-zip-around-organizer-8109-hg-tur,What quality do you value most?,Protection and care,Vintage Charm,Wisdom and calmness,City Lights,Playfulness and joy,Ethereal Bloom,Strength with compassion,Ethereal Bloom
Heritage Leather Cosmetic Case - 1861,Winged Serenity,"Light and free, fluttering with calm energy.",https://anuschkaleather.in/collections/heritage-turquoise/products/heritage-leather-cosmetic-case-1861-hg-tur,What color palette do you prefer for accessories?,Aqua blues and sea greens,Playful Paws,Bright island colors,Dreamscape Urbanite,Soft sandy tones,Vintage Charm,Earthy browns and greens,Color Mirage
Leather Key Case - 1998,Ocean Mist,"Tranquil and soothing, with a cool aura.",https://anuschkaleather.in/collections/heritage-turquoise/products/leather-key-case-1998-hg-tur,"If your personality was a painting, it would be:",Bold and expressive abstract,Ocean Mist,Geometric and structured mosaic,Earth Song,Free,Camellia Grace,Delicate and detailed paisley,Earth Song
Crossbody Frame Bag - 8594,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/herringbone-embossed-black/products/crossbody-frame-bag-8595-hr-blk,Which art style inspires you most?,Colorful splashes,Enchanted Rose,Intricate mosaics,Metamorph Muse,Bohemian patterns,Vintage Charm,Elegant paisleys,Wilderness Whisper
Large Tote - 8528,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/herringbone-embossed-black/products/large-tote-8528-hr-blk,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Winged Serenity,Bold and fiery rose prints,Angel Aura,Soft watercolor blossoms,Color Mirage,Dark romantic florals,Dreamscape Urbanite
Medium Shoulder Hobo - 8527,Wilderness Whisper,Mysterious and adventurous with a natural charm.,https://anuschkaleather.in/collections/herringbone-embossed-black/products/medium-shoulder-hobo-8527-hr-blk,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Mystic Mosaic,An elephant with a lotus 🐘,Retro Muse,A guardian dog 🐕,Color Mirage,A mystical owl 🦉,Caribbean Dreamer
Small Multi Compartment Zip Around Organizer - 8109,Camellia Grace,"Refined and classic, inspired by timeless beauty.",https://anuschkaleather.in/collections/herringbone-embossed-black/products/small-multi-compartment-zip-around-organizer-8109-hr-blk,What’s your go-to mood on weekends?,Relaxing with nature,Vintage Charm,Partying in the city,Flutter Charm,Exploring something new,Angel Aura,Staying cozy at home,Color Mirage
Large Phone Organizer - 1978,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/herringbone-embossed-black/products/large-phone-organizer-1978-hr-blk,What’s your go-to mood on weekends?,Relaxing with nature,Camellia Grace,Partying in the city,Leopard Luxe,Exploring something new,Roaring Majesty,Staying cozy at home,Ethereal Bloom
Eye Glass Pouch - 1940,Sacred Elephant,"Wise and grounded, exuding strength and calm.",https://anuschkaleather.in/collections/herringbone-embossed-black/products/eye-glass-pouch-1940-hr-blk,Which scenery feels most calming to you?,A blooming spring garden 🌷,Wolf Moon,A field of wild roses under sunset 🌹,Sacred Elephant,A misty meadow with dew,Paisley Muse,A vintage botanical greenhouse 🌼,Dreamscape Urbanite
Mini Two-Fold Wallet - 1922,Camellia Grace,"Refined and classic, inspired by timeless beauty.",https://anuschkaleather.in/collections/herringbone-embossed-black/products/mini-two-fold-wallet-1922-hr-blk,Which art style inspires you most?,Colorful splashes,Leopard Luxe,Intricate mosaics,Celestial Wings,Bohemian patterns,Petal Muse,Elegant paisleys,Playful Paws
Zip Pouch - 1824,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/herringbone-embossed-black/products/zip-pouch-1824-hr-blk,Which art style inspires you most?,Colorful splashes,Retro Muse,Intricate mosaics,City Lights,Bohemian patterns,Ethereal Bloom,Elegant paisleys,Dreamscape Urbanite
Leather Key Case - 1998,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/herringbone-embossed-black/products/leather-key-case-1998-hr-blk,Your dream vacation spot is:,A tropical island 🏝️,Paisley Muse,Caribbean beaches 🏖️,Crimson Blossom,A quiet ocean cliff 🌊,Savannah Spirit,A deep forest retreat 🌿,Wilderness Whisper
Large Tote - 8528,Paisley Muse,Unique and elegant with a cultural twist.,https://anuschkaleather.in/collections/herringbone-embossed-red/products/large-tote-8528-hr-red,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Mystic Mosaic,An elephant with a lotus 🐘,Angel Aura,A guardian dog 🐕,Paisley Muse,A mystical owl 🦉,Vintage Charm
Medium Shoulder Hobo - 8527,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/herringbone-embossed-red/products/medium-shoulder-hobo-8527-hr-red,What quality do you value most?,Protection and care,Mystic Mosaic,Wisdom and calmness,Winged Serenity,Playfulness and joy,Winged Serenity,Strength with compassion,Flutter Charm
Small Multi compartment Crossbody - 8280,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/herringbone-embossed-red/products/small-multi-compartment-crossbody-8280-hr-red,What quality do you value most?,Protection and care,Dreamscape Urbanite,Wisdom and calmness,Color Mirage,Playfulness and joy,Retro Muse,Strength with compassion,Wolf Moon
Small Multi Compartment Zip Around Organizer - 8109,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/herringbone-embossed-red/products/small-multi-compartment-zip-around-organizer-8109-hr-red,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Leopard Luxe,Bold and fiery rose prints,Roaring Majesty,Soft watercolor blossoms,Boho Spirit,Dark romantic florals,Wilderness Whisper
Large Phone Organizer - 1978,Playful Paws,"Cute, lively, and full of joy.",https://anuschkaleather.in/collections/herringbone-embossed-red/products/large-phone-organizer-1978-hr-red,What’s your go-to mood on weekends?,Relaxing with nature,Wolf Moon,Partying in the city,Dreamscape Urbanite,Exploring something new,Earth Song,Staying cozy at home,Retro Muse
Mini Two-Fold Wallet - 1922,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/herringbone-embossed-red/products/mini-two-fold-wallet-1922-hr-red,"If your personality was a painting, it would be:",Bold and expressive abstract,Wolf Moon,Geometric and structured mosaic,Metamorph Muse,Free,Ethereal Bloom,Delicate and detailed paisley,City Lights
Eye Glass Pouch - 1940,Sacred Elephant,"Wise and grounded, exuding strength and calm.",https://anuschkaleather.in/collections/herringbone-embossed-red/products/eye-glass-pouch-1940-hr-red,Which element resonates with your soul?,Air,City Lights,Light,Metamorph Muse,Movement,Enchanted Rose,Growth,Caribbean Dreamer
Zip Pouch - 1824,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/herringbone-embossed-red/products/zip-pouch-1824-hr-red,Which wild animal do you relate to most?,Leopard,Roaring Majesty,Lion,Roaring Majesty,Deer,Ethereal Bloom,Wolf,Ocean Mist
Leather Key Case - 1998,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/herringbone-embossed-red/products/leather-key-case-1998-hr-red,What quality do you value most?,Protection and care,Sacred Elephant,Wisdom and calmness,Celestial Wings,Playfulness and joy,Angel Aura,Strength with compassion,Boho Spirit
Slim Crossbody With Front Zip - 452,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/art-high-roller/products/leather-slim-cross-body-with-front-zip-452-hgh,Which bag style attracts you most?,Sleek and modern,Earth Song,Antique leather satchel,Wolf Moon,Funky retro prints,Paisley Muse,Edgy futuristic designs,Angel Aura
Classic Hobo With Studded Side Pockets - 433,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/art-himalayan-bird/products/leather-classic-hobo-with-studded-side-pockets-433-hmb,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Caribbean Dreamer,Bold and fiery rose prints,Color Mirage,Soft watercolor blossoms,Color Mirage,Dark romantic florals,Flutter Charm
